id;identifier;dataset_identifier;RADIO_C14 Std_To;RADIO_CalAMS_;RADIO_CalibC14_From_yrmax;RADIO_CalibC14_From_yrmin;RADIO_CalibC14_To_yrmax;RADIO_CalibC14_To_yrmin;RADIO_CalibC14_yrmax;RADIO_CalibC14_yrmin;RADIO_TL_From;RADIO_TL_To;RADIO_UnknownCal_From;RADIO_UnknownCal_To;RADIO_UnknownRadio_;RADIO_UnknownRadio_>;RADIO;CAL__BP;CAL_From_BP;CAL_To_BP;CAL_DatingMethod;CAL__BP_2;CAL_From_BP_2;CAL_To_BP_2;CAL_DatingMethod_2;CAL_From_BP_3;CAL_To_BP_3;CAL_DatingMethod_3;CAL__BP_4;CAL_From_BP_4;CAL_To_BP_4;CAL_DatingMethod_4;CALENDAR;PER_Notes;PER_BeginBP;PER_BeginBP_From;PER_BeginBP_To;PER_EndBP;PER_EndBP_From;PER_EndBP_To;PER_Notes_2;PER_BeginBP__2;PER_BeginBP_From_2;PER_BeginBP_To_2;PER_EndBP__2;PER_EndBP_From_2;PER_EndBP_To_2;PER_Notes_3;PER_BeginBP_To_3;PER_EndBP_To_3;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;UniqueFrom;UniqueTo;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDtaes;C14_older_than_30000BP;AgeErrorMinus;AgeErrorOrPlusError;From_Method;From_AgeErrorOrPlusError;From_AgeErrorMinus;To_Method;To_AgeErrorOrPlusError;To_AgeErrorMinus;AgeFrom;AgeTo
2232;Poyle House|COUN001347|1394;Poyle House|COUN001347;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
2233;Poyle House|COUN001347|1434;Poyle House|COUN001347;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
2234;Poyle House|COUN001347|1481;Poyle House|COUN001347;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
2235;Poznan: Ostrów Tumski|COUN001476|BugsPresence;Poznan: Ostrów Tumski|COUN001476;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
2236;Præstelyngen i Åmosen|COUN000742|BugsPresence;Præstelyngen i Åmosen|COUN000742;;;;;;;6880;6412;;;;;;;1;;;;;;;;;;;;;;;;0;;11500;;;5000;;;;;;;;;;;;;1;6412;6880;;;;;5000;11500;6880;6412;1;;;;;;;;;;;;;;;6880;6412
2237;Qeqertasussuk|COUN000646|B32l;Qeqertasussuk|COUN000646;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;;;;;;;2449;4449;4449;2449;;;;1;;;;;;;;;;;;4449;2449
2238;Qeqertasussuk|COUN000646|B32u;Qeqertasussuk|COUN000646;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;;;;;;;2449;4449;4449;2449;;;;1;;;;;;;;;;;;4449;2449
2239;Qeqertasussuk|COUN000646|B33;Qeqertasussuk|COUN000646;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;;;;;;;2449;4449;4449;2449;;;;1;;;;;;;;;;;;4449;2449
2240;Qeqertasussuk|COUN000646|BugsPresence;Qeqertasussuk|COUN000646;;;;;;;3895;1423;;;;;;;1;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;1423;3895;;;;;2449;4449;3895;1423;1;;;;;;;;;;;;;;;3895;1423
2241;Qeqertasussuk|COUN000646|C11l;Qeqertasussuk|COUN000646;;;;;;;3559;3177;;;;;;;1;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;3177;3559;;;;;2449;4449;3559;3177;1;;;;;;;;;;;;;;;3559;3177
