SEAD_taxonomic_code	SEAD_taxon_id	SEAD_taxon	SEAD_author_name	Dyntaxa_taxonID
93,163003	34937	Ceutorhynchus erysimi	(F.)	106499
88,017063	33798	Cryptocephalus pygmaeus	F.	232418
23,042001	30584	Coprophilus striatulus	(F.)	104452
1,021004	29001	Trechus rubens	(F.)	103340
68,022001	33126	Dorcatoma flavicornis	(F.)	100855
93,163093	34974	Hadroplontus trimaculatus	(F.)	213594
1,071002	29428	Panagaeus bipustulatus	(F.)	103485
34,041002	32128	Athous vittatus	(F.)	105155
1,07901	29460	Dromius fenestratus	(F.)	103544
34,00101	32042	Ampedus praeustus	(F.)	100267
85,019054	33511	Aphodius scrofa	(F.)	100335
34,041001	32127	Athous haemorrhoidalis	(F.)	105156
91,014001	34206	Pteleobius vittatus	(F.)	213629
23,099012	31061	Ocypus brunnipes	(F.)	104119
88,04901	33928	Phyllotreta striolata	(F.)	106091
1,002005	28895	Callisthenes reticulatus	(F.)	100534
60,013001	32899	Synchita humeralis	(F.)	105774
93,043002	34566	Barynotus obscurus	(F.)	106301
4,021001	29625	Liopterus haemorrhoidalis	(F.)	103632
34,044002	32142	Oedostethus quadripustulatus	(F.)	105151
9,002004	29872	Sphaeridium lunatum	F.	103784
12,008001	30097	Ablattaria laevigata	(F.)	209467
93,013121	34404	Oxystoma pomonae	(F.)	100363
68,017001	33123	Lasioderma serricorne	(F.)	105330
1,012001	28962	Elaphrus uliginosus	F.	102234
50,003001	32413	Brachypterus urticae	(F.)	105373
4,008001	29545	Hydroporus dorsalis	(F.)	103626
34,029004	32103	Selatosomus melancholicus	(F.)	105177
88,029002	33839	Phaedon cochleariae	(F.)	106032
34,015004	32074	Adrastus pallens	(F.)	105195
7,002008	29771	Ochthebius minimus	(F.)	103826
4,015001	29596	Stictotarsus duodecimpustulatus	(F.)	102344
93,128001	34862	Gronops lunatus	(F.)	101009
1,068001	29408	Oodes helopioides	(F.)	103486
23,0481003	30637	Anotylus rugosus	(F.)	104483
91,024002	34218	Dryocoetes villosus	(F.)	102229
85,019013	33483	Aphodius luridus	(F.)	100332
93,01302	34333	Malvapion malvae	(F.)	233243
87,034001	33664	Gracilia minuta	(F.)	105923
56,002001	32761	Olibrus aeneus	(F.)	105591
62,006001	32946	Rhyzobius litura	(F.)	105618
1,009008	28949	Notiophilus biguttatus	(F.)	103297
68,002001	33079	Grynobius planus	(F.)	102250
83,019001	33373	Scaphidema metallicum	(F.)	102335
52,001009	32547	Rhizophagus bipustulatus	(F.)	105462
85,019053	33510	Aphodius porcus	(F.)	100333
88,031003	33849	Prasocuris hannoveriana	(F.)	106037
10,010014	30014	Saprinus aeneus	(F.)	103794
93,013021	34335	Pseudapion rufirostre	(F.)	100365
50,008014	32445	Meligethes aeneus	(F.)	105420
93,145008	34914	Rhinoncus castor	(F.)	106483
6,0010019	29741	Rhysodes sulcatus	(F.)	101718
9,014001	29962	Cymbiodyta marginella	(F.)	103750
91,0241001	34223	Coccotrypes dactyliperda	(F.)	213691
27,007002	31941	Crudosilis ruficollis	(F.)	105127
1,051024	29265	Pterostichus oblongopunctatus	(F.)	103403
9,011007	29933	Laccobius bipunctatus	(F.)	103739
85,020003	33546	Heptaulacus testudinarius	(F.)	101065
53,017001	32587	Laemophloeus monilis	(F.)	101163
88,045007	33916	Luperus longicornis	(F.)	106082
93,001001	34284	Cimberis attelaboides	(F.)	106176
1,029102	29117	Bembidion guttula	(F.)	103393
93,044003	34572	Charagmus griseus	(F.)	101790
88,049021	33937	Phyllotreta nigripes	(F.)	106096
47,004002	32365	Simplocaria semistriata	(F.)	105225
23,195001	31643	Drusilla canaliculata	(F.)	104926
93,092007	34713	Notaris aethiops	(F.)	106341
53,0200013	32609	Prostomis mandibularis	(F.)	101635
93,092003	34710	Notaris scirpi	(F.)	106340
23,009004	30434	Proteinus brachypterus	(F.)	104357
60,018002	32907	Colydium filiforme	F.	100702
91,009001	34191	Carphoborus minimus	(F.)	213646
23,010016	30441	Eusphalerum minutum	(F.)	104363
93,013093	34384	Holotrichapion pisi	(F.)	100362
27,002008	31907	Cantharis pellucida	F.	105106
93,044021	34589	Sitona hispidulus	(F.)	106315
93,110004	34784	Curculio villosus	F.	106387
14,011011	30141	Catops morio	(F.)	103989
93,167001	34999	Trichosirocalus troglodytes	(F.)	106524
23,063005	30851	Sunius melanocephalus	(F.)	101863
93,048002	34595	Tanymecus palliatus	(F.)	101883
50,009037	32498	Epuraea limbata	(F.)	105410
34,022004	32089	Ctenicera cuprea	(F.)	100762
93,015126	34463	Otiorhynchus sulcatus	(F.)	106253
93,104019	34747	Tychius picirostris	(F.)	106365
1,0040172	28910	Carabus convexus	F.	100541
23,188199	31606	Atheta crassicornis	(F.)	104865
30,002002	31991	Aplocnemus nigricornis	(F.)	105349
50,020001	32523	Cryptarcha strigata	(F.)	105448
93,043003	34567	Barynotus moerens	(F.)	100456
89,0050031	34141	Callosobruchus maculatus	(F.)	105967
4,024001	29667	Ilybius fenestratus	(F.)	103671
87,027014	33639	Stictoleptura scutellata	(F.)	100303
93,123003	34838	Graptus triguttatus	(F.)	213102
88,002003	33716	Donacia crassipes	F.	105972
7,005022	29844	Helophorus flavipes	F.	103720
60,016001	32905	Bitoma crenata	(F.)	105775
87,023002	33630	Grammoptera ruficornis	(F.)	105910
1,004023	28913	Carabus monilis	F.	208372
50,021001	32526	Glischrochilus quadriguttatus	(F.)	100996
23,030001	30538	Acidota crenata	(F.)	104426
1,029098	29114	Bembidion biguttatum	(F.)	103390
79,011053	33274	Mordellistena variegata	(F.)	102311
52,00101	32548	Rhizophagus nitidulus	(F.)	105463
1,041012	29167	Ophonus azureus	(F.)	102318
1,041009	29163	Ophonus rufibarbis	(F.)	103497
23,114007	31205	Tachyporus hypnorum	(F.)	104577
9,011001	29927	Laccobius striatulus	(F.)	103738
14,006013	30124	Choleva angustata	(F.)	103974
4,018001	29615	Scarodytes halensis	(F.)	103627
92,001001	34279	Platypus cylindrus	(F.)	101592
93,013038	34343	Exapion fuscirostre	(F.)	100352
40,001005	32222	Odeles marginata	(F.)	105009
91,034002	34257	Orthotomicus laricis	(F.)	106566
53,011001	32580	Psammoecus bipunctatus	(F.)	105478
93,144005	34899	Pelenomus quadrituberculatus	(F.)	106474
9,003006	29883	Cercyon haemorrhoidalis	(F.)	103761
23,077001	30912	Gauropterus fulgidus	(F.)	104182
23,117008	31225	Tachinus bipustulatus	(F.)	101879
23,117007	31224	Tachinus marginatus	(F.)	104591
83,033002	33405	Tenebrio obscurus	F.	101886
23,099015	31063	Ocypus picipennis	(F.)	104121
87,011001	33616	Rhagium bifasciatum	F.	212397
85,019061	33518	Aphodius foetens	(F.)	105050
91,036001	34268	Anisandrus dispar	(F.)	106583
88,051035	33985	Longitarsus dorsalis	(F.)	6007143
4,031006	29717	Dytiscus circumflexus	F.	100878
93,155001	34921	Poophagus sisymbrii	(F.)	106488
9,013007	29956	Enochrus testaceus	(F.)	103747
34,013001	32073	Synaptus filiformis	(F.)	211188
83,028001	33399	Gnatocerus cornutus	(F.)	105840
83,023009	33380	Corticeus linearis	(F.)	105852
4,011005	29587	Graptodytes pictus	(F.)	103623
16,009001	30212	Amphicyllis globus	(F.)	103936
59,004009	39836	Mycetophagus fulvicollis	F.	101353
10,032014	30059	Hister bissexstriatus	F.	103818
60,018001	32906	Colydium elongatum	(F.)	100701
53,017003	32588	Laemophloeus muticus	(F.)	101164
23,088046	30998	Philonthus splendens	(F.)	104094
4,008026	29572	Hydroporus nigrita	(F.)	103595
45,010001	32355	Trinodes hirtus	(F.)	101929
23,117015	31232	Tachinus marginellus	(F.)	104600
23,114001	31200	Tachyporus nitidulus	(F.)	104570
9,002002	29870	Sphaeridium marginatum	F.	103782
9,002001	29869	Sphaeridium bipustulatum	F.	103781
71,007002	33199	Salpingus planirostris	(F.)	105803
85,019055	33512	Aphodius merdarius	(F.)	102174
93,013024	34336	Aspidapion aeneum	(F.)	100343
1,065009	29358	Amara ovata	(F.)	103449
88,053002	34014	Hermaeophaga mercurialis	(F.)	101068
23,068023	30883	Lathrobium brunnipes	(F.)	104236
83,026002	33396	Alphitobius laevigatus	(F.)	105838
11,001001	30069	Sphaerites glabratus	(F.)	103786
47,012001	32385	Porcinolus murinus	(F.)	105235
4,008019	29566	Hydroporus planus	(F.)	103599
23,111003	31174	Lordithon thoracicus	(F.)	104553
48,009001	32403	Thymalus limbatus	(F.)	102351
88,017033	33787	Cryptocephalus nitidulus	F.	106007
83,009001	33367	Melanimon tibialis	(F.)	105827
7,005028	29855	Helophorus minutus	F.	103714
1,066005	29397	Chlaenius nigricornis	(F.)	100616
40,003009	32232	Cyphon pubescens	(F.)	105018
93,125014	34846	Hypera meles	(F.)	102280
67,004001	33070	Rhyzopertha dominica	(F.)	105279
56,001002	32755	Phalacrus fimetarius	(F.)	230544
65,00601	33043	Cis micans	(F.)	105757
93,015046	34443	Otiorhynchus morio	(F.)	213074
93,101001	34734	Acalyptus carpini	(F.)	106370
91,011001	34197	Hylesinus crenatus	(F.)	106540
1,006001	28924	Leistus spinibarbis	(F.)	6011481
50,015001	32517	Pocadius ferrugineus	(F.)	105443
88,002001	33715	Donacia clavipes	F.	105971
59,004003	32875	Mycetophagus piceus	(F.)	101354
52,001003	32540	Rhizophagus depressus	(F.)	105457
36,008002	32170	Microrhagus pygmaeus	(F.)	105201
4,007002	29539	Hygrotus inaequalis	(F.)	103582
5,002001	29724	Gyrinus minutus	F.	103696
88,049014	33932	Phyllotreta atra	(F.)	106094
